word,affix_seq
abandonment,ment
abasement,ment
abatement,ment
abbreviation,tion
abdication,tion
abdominal,al
abduction,tion
aberration,tion
abettor,or
abhor,or
abjection,tion
abjectly,ly
abjuration,tion
ablation,tion
abler,er
ablution,tion
abnegation,tion
abner,er
abnormal,al
abnormally,al;ly
abolition,tion
abominable,able
abominably,ly
abomination,tion
aboriginal,al
abortion,tion
abortively,ly
abrasion,sion
abrasively,ly
abreaction,tion
abridgment,ment
abrogation,tion
abruptly,ly
abruptness,ness
absently,ly
absentmindedly,ly
absolutely,ly
absoluteness,ness
absolution,tion
absorber,er
absorption,tion
abstainer,er
abstemiously,ly
abstemiousness,ness
abstention,tion
abstractedly,ly
abstractedness,ness
abstraction,tion
abstractly,ly
abstrusely,ly
abstruseness,ness
absurdly,ly
abundantly,ly
abusively,ly
abutment,ment
abysmal,al
abysmally,al;ly
academically,al;ly
acceleration,tion
accelerator,or
accelerometer,er
accentual,al
accentuation,tion
acceptable,able
acceptably,ly
acceptation,tion
accessible,ible
accession,sion
accidental,al
accidentally,al;ly
acclamation,tion
acclimation,tion
acclimatization,tion
acclimatize,ize
accommodation,tion
accompaniment,ment
accomplishment,ment
accordingly,ly
accountable,able
accountably,ly
accreditation,tion
accretion,tion
acculturation,tion
accumulation,tion
accumulator,or
accurately,ly
accusation,tion
accuser,er
accusingly,ly
achievable,able
achievement,ment
acidify,ify
acknowledgement,ment
acknowledgment,ment
acoustical,al
acoustically,al;ly
acquiescently,ly
acquirement,ment
acquisition,tion
acquisitiveness,ness
acquittal,al
acrimoniously,ly
acrobatically,al;ly
actinometer,er
actionable,able
activation,tion
actively,ly
actor,or
actual,al
actually,al;ly
actuarial,al
actuarially,al;ly
acutely,ly
acuteness,ness
adamantly,ly
adaptable,able
adaptation,tion
adapter,er
adder,er
addiction,tion
addition,tion
additional,tion;al
additionally,tion;al;ly
adenauer,er
adenoidally,al;ly
adeptly,ly
adequately,ly
adhesion,sion
adjectival,al
adjectivally,al;ly
adjournment,ment
adjudication,tion
adjudicator,or
adjustable,able
adjuster,er
adjustment,ment
adler,er
administer,er
administration,tion
administratively,ly
administrator,or
admirable,able
admirably,ly
admiral,al
admiration,tion
admirer,er
admiringly,ly
admissible,ible
admission,sion
admittedly,ly
admonishingly,ly
admonition,tion
adoption,tion
adorable,able
adorably,ly
adoration,tion
adorer,er
adoringly,ly
adornment,ment
adrenal,al
adroitly,ly
adroitness,ness
adulation,tion
adulator,or
adulteration,tion
adulterer,er;er
adumbration,tion
advancement,ment
advantageously,ly
adventitiously,ly
adventurer,er
adventurously,ly
adverbial,al
adverbially,al;ly
adversely,ly
advertise,ise
advertisement,ise;ment
advertiser,er
advisable,able
advise,ise
advisedly,ly
advisement,ise;ment
adviser,er
advisor,or
aeration,tion
aerator,or
aerial,al
aerially,al;ly
aerodynamically,al;ly
aeronautical,al
aesthetical,al
aesthetically,al;ly
aetiological,al
aetiologically,al;ly
affable,able
affably,ly
affectation,tion
affectedly,ly
affectedness,ness
affectingly,ly
affection,tion
affectionately,ly
affiliation,tion
affirmation,tion
affirmatively,ly
affliction,tion
afforestation,tion
afrikaner,er
after,er
ageless,less
agelessness,less;ness
agglomeration,tion
agglutination,tion
aggrandize,ize
aggrandizement,ize;ment
aggravation,tion
aggregation,tion
aggression,sion
aggressively,ly
aggressiveness,ness
aggressor,or
agilely,ly
agitation,tion
agitator,or
agonize,ize
agonizingly,ly
agreeable,able
agreeableness,able;ness
agreeably,ly
agreement,ment
agricultural,al
agriculturally,al;ly
ailment,ment
aimless,less
aimlessly,less;ly
aimlessness,less;ness
airier,er
airily,ly
airless,less
airliner,er
airworthiness,ness
alabaster,er
alarmingly,ly
alcoholically,al;ly
alder,er
alertly,ly
alertness,ness
alexander,er
algebraical,al
algebraically,al;ly
alger,er
alienable,able
alienation,tion
alignment,ment
allegation,tion
allegedly,ly
allegorical,al
allegorically,al;ly
alleviation,tion
alligator,or
alliteration,tion
alliteratively,ly
allocable,able
allocation,tion
allotment,ment
allowable,able
allowably,ly
allurement,ment
allusion,sion
allusively,ly
alluvial,al
almoner,er
aloneness,ness
aloofly,ly
aloofness,ness
alphabetical,al
alphabetically,al;ly
alter,er
alterable,er;able
alteration,tion
altercation,tion
alternation,tion
alternatively,ly
alternator,or
altimeter,er
altogether,er
altruistically,al;ly
amalgamation,tion
amateurishly,ly
amateurishness,ness
amazement,ment
amazingly,ly
ambassador,or
ambassadorial,al
amber,er
ambidextrously,ly
ambiguously,ly
ambiguousness,ness
ambition,tion
ambitiously,ly
ambitiousness,ness
ambivalently,ly
ambler,er
ambrosial,al
amelioration,tion
amenable,able
amendable,able
amendment,ment
americanize,ize
amiable,able
amiably,ly
amicable,able
amicably,ly
ammeter,er
ammunition,tion
amoral,al
amorously,ly
amorousness,ness
amorphousness,ness
amortization,tion
amortize,ize
amphitheater,er
ampler,er
amplification,tion
amplifier,er
amplify,ify
amply,ly
amputation,tion
amusedly,ly
amusement,ment
amusingly,ly
anachronistically,al;ly
anaemically,al;ly
anaesthetize,ize
analogize,ize
analogously,ly
analytical,al
analytically,al;ly
analyzable,able
analyzer,er
anarchical,al
anarchically,al;ly
anarchistically,al;ly
anatomical,al
anatomically,al;ly
ancestor,or
ancestral,al
anchor,or
anciently,ly
andover,er
anecdotal,al
anemometer,er
anesthetically,al;ly
angelical,al
angelically,al;ly
anger,er
angler,er
anglicize,ize
angrier,er
angrily,ly
anhydrously,ly
animadversion,er;sion
animal,al
animation,tion
anneal,al
annexation,tion
annihilation,tion
annotation,tion
announcement,ment
announcer,er
annual,al
annually,al;ly
annulment,ment
annunciation,tion
anointment,ment
anomalously,ly
anomaly,ly
anonymously,ly
another,er
answer,er
answerable,er;able
answerably,ly
antagonistically,al;ly
antagonize,ize
anteater,er
antechamber,er
antenatal,al
antenuptial,al
anterior,or
anther,er
anthologize,ize
anthropological,al
anthropologically,al;ly
antibiotically,al;ly
anticipation,tion
anticlerical,al
anticlockwise,ise
anticoagulation,tion
antihistorical,al
antimatter,er
antipathetically,al;ly
antiphonal,al
antiredeposition,tion
antisocial,al
antithetical,al
antithetically,al;ly
antler,er
anxiously,ly
apartment,ment
apathetically,al;ly
apocalyptically,al;ly
apocryphal,al
apologetically,al;ly
apologize,ize
apoplectically,al;ly
apostatize,ize
apostolically,al;ly
apostrophize,ize
appal,al
appallingly,ly
apparently,ly
apparition,tion
appeal,al
appealingly,ly
appeasement,ment
appellation,tion
appetizer,er
appetizingly,ly
applicable,able
application,tion
applicator,or
apply,ly
appointment,ment
apportion,or;tion
apportionment,or;tion;ment
appositely,ly
apposition,tion
appraisal,al
appraise,ise
appraiser,er
appreciable,able
appreciably,ly
appreciation,tion
appreciatively,ly
apprehensible,ible
apprehension,sion
apprehensively,ly
apprise,ise
approachable,able
approbation,tion
appropriately,ly
appropriateness,ness
appropriation,tion
approval,al
approvingly,ly
approximately,ly
approximation,tion
aptly,ly
aptness,ness
aquatically,al;ly
arbiter,er
arbitrarily,ly
arbitrariness,ness
arbitration,tion
arbitrator,or
arbor,or
arboreal,al
archaeological,al
archaeologically,al;ly
archaically,al;ly
archeological,al
archer,er
archetypal,al
archetypical,al
architectural,al
architecturally,al;ly
archly,ly
ardently,ly
ardor,or
arduously,ly
arduousness,ness
arguable,able
arguably,ly
argument,ment
argumentation,tion
argumentatively,ly
aridly,ly
aristocratically,al;ly
arithmetical,al
arithmetically,al;ly
armament,ment
armless,less
armor,or
armorial,al
armourer,er
aromatically,al;ly
arousal,al
arraignment,ment
arrangement,ment
arrester,er
arrival,al
arrogantly,ly
arsenal,al
arterial,al
artfully,ly
artfulness,ness
articulately,ly
articulateness,ness
articulation,tion
artier,er
artificer,er
artificial,al
artificially,al;ly
artiness,ness
artistically,al;ly
artless,less
artlessly,less;ly
artlessness,less;ness
ascension,sion
ascertainable,able
ascetical,al
ascetically,al;ly
ascribable,able
ascription,tion
aseptically,al;ly
asexual,al
asexually,al;ly
ashamedly,ly
asher,er
ashier,er
asocial,al
aspersion,er;sion
asphyxiation,tion
aspiration,tion
assailable,able
assassination,tion
assembly,ly
assertion,er;tion
assertively,ly
assertiveness,ness
assessment,ment
assessor,or
asseveration,tion
assiduously,ly
assignable,able
assignation,tion
assignment,ment
assimilation,tion
assize,ize
association,tion
assortment,ment
assumption,tion
assuredly,ly
aster,er
asteroidal,al
asthmatically,al;ly
astonishingly,ly
astonishment,ment
astor,or
astral,al
astrologer,er
astrological,al
astrologically,al;ly
astronomer,er
astronomical,al
astronomically,al;ly
astrophysical,al
astutely,ly
astuteness,ness
asunder,er
asymmetrical,al
asymmetrically,al;ly
asymptotically,al;ly
atelier,er
atheistical,al
atheistically,al;ly
atomically,al;ly
atomisation,tion
atomize,ize
atomizer,er
atonal,al
atonement,ment
atrociously,ly
attachment,ment
attacker,er
attainable,able
attainder,er
attainment,ment
attention,tion
attentively,ly
attentiveness,ness
attenuation,tion
attestation,tion
attitudinize,ize
attraction,tion
attractively,ly
attractiveness,ness
attributable,able
attribution,tion
attributively,ly
attrition,tion
atypical,al
atypically,al;ly
auction,tion
auctioneer,er
audaciously,ly
audible,ible
audibly,ly
audiometer,er
audiovisual,al
audition,tion
auditor,or
auger,er
augment,ment
augmentation,tion
augustly,ly
aural,al
aurally,al;ly
auspiciously,ly
austerely,ly
authentically,al;ly
authentication,tion
authenticator,or
author,or
authoritatively,ly
authorization,tion
authorize,or;ize
autistically,al;ly
autobiographical,al
autobiographically,al;ly
autocoder,er
autocratically,al;ly
autoloader,er
automatically,al;ly
automation,tion
autonavigator,or
autonomously,ly
autumnal,al
autumnally,al;ly
available,able
availably,ly
avariciously,ly
avenger,er
aversion,sion
aversively,ly
aviation,tion
aviator,or
avidly,ly
avocation,tion
avoidable,able
avowal,al
avowedly,ly
avuncularly,ly
awareness,ness
awfully,ly
awfulness,ness
awkwardly,ly
awkwardness,ness
axial,al
axially,al;ly
axiomatically,al;ly
babbler,er
bachelor,or
backbencher,er
backbiter,er
backbreakingly,ly
backdoor,or
backer,er
backhander,er
backless,less
backpedal,al
backscratcher,er
backslider,er
backwardly,ly
backwardness,ness
backwater,er
bacterial,al
badger,er
badly,ly
badness,ness
bafflement,ment
bafflingly,ly
baggier,er
bailment,ment
baker,er
balder,er
baldly,ly
baldness,ness
balefully,ly
balkanize,ize
ballplayer,er
bally,ly
balmier,er
baluster,er
banal,al
bandier,er
bandmaster,er
bandoleer,er
banefully,ly
banger,er
banishment,ment
banister,er
banker,er
banner,er
banter,er
banteringly,ly
baptismal,al
baptize,ize
barbarically,al;ly
barbarize,ize
barbarously,ly
barber,er
barbital,al
barefacedly,ly
barely,ly
bareness,ness
barer,er
barker,er
barnstormer,er
barometer,er
barometrically,al;ly
baroness,ness
baronial,al
barrenness,ness
barrier,er
barrister,er
bartender,er
barter,er
barterer,er;er
baseless,less
basely,ly
basement,ment
baseness,ness
baser,er
bashfully,ly
bashfulness,ness
basically,al;ly
bastardization,tion
bastardize,ize
bastion,tion
bather,er
batter,er
battier,er
bauer,er
bawdier,er
bawdily,ly
bawdiness,ness
beachcomber,er
beadier,er
beaker,er
bearable,able
bearably,ly
beardless,less
bearer,er
bearishly,ly
bearishness,ness
beastlier,er
beastliness,ness
beastly,ly
beater,er
beatifically,al;ly
beatification,tion
beatify,ify
beauteously,ly
beautifully,ly
beautify,ify
beaver,er
becomingly,ly
bedazzlement,ment
bedevilment,ment
bedsitter,er
beecher,er
beefeater,er
beefier,er
beerier,er
befittingly,ly
begetter,er
beggarliness,ness
beggarly,ly
beginner,er
beguilement,ment
beguilingly,ly
behavior,or
behavioral,or;al
behaviorally,or;al;ly
beholder,er
belatedly,ly
beleaguer,er
believable,able
believably,ly
believer,er
bellflower,er
belligerently,ly
belly,ly
bencher,er
benediction,tion
benefaction,tion
benefactor,or
beneficently,ly
beneficial,al
beneficially,al;ly
benevolently,ly
bengal,al
benightedly,ly
benignantly,ly
benignly,ly
bereavement,ment
berger,er
beseechingly,ly
besieger,er
bestial,al
bestially,al;ly
bestowal,al
bestseller,er
betrayal,al
betrayer,er
betrothal,al
better,er
betterment,er;ment
beverly,er;ly
bewilder,er
bewilderedly,ly
bewilderingly,ly
bewilderment,er;ment
bewitchingly,ly
biblical,al
biblically,al;ly
bibliographer,er
bibliographical,al
bicameral,er;al
bicentennial,al
bicker,er
biddable,able
bidder,er
biennial,al
biennially,al;ly
bifocal,al
bifurcation,tion
bigamously,ly
bigger,er
bigness,ness
bigotedly,ly
bilabial,al
bilateral,er;al
bilaterally,er;al;ly
bilingual,al
biliousness,ness
billposter,er
billsticker,er
billy,ly
bimonthly,ly
binder,er
binomial,al
biochemical,al
biodegradable,able
biographer,er
biographical,al
biographically,al;ly
biological,al
biologically,al;ly
biophysical,al
biracial,al
bisection,tion
bisexual,al
bisexually,al;ly
bitchier,er
bitchily,ly
bitchiness,ness
biter,er
bitter,er
bitterer,er;er
bitterly,er;ly
bitterness,er;ness
bittier,er
biweekly,ly
bizarrely,ly
bizonal,al
blabber,er
blackamoor,or
blacker,er
blackguardly,ly
blackly,ly
blackmailer,er
blackness,ness
bladder,er
blameless,less
blamelessly,less;ly
blamelessness,less;ness
blameworthiness,ness
blander,er
blandly,ly
blandness,ness
blanker,er
blankly,ly
blankness,ness
blasphemer,er
blasphemously,ly
blatantly,ly
blather,er
blazer,er
bleacher,er
bleaker,er
bleakly,ly
blearier,er
blearily,ly
bleariness,ness
bleeder,er
blender,er
blessedly,ly
blessedness,ness
blether,er
blighter,er
blinder,er
blindly,ly
blindness,ness
blissfully,ly
blissfulness,ness
blister,er
blisteringly,ly
blithely,ly
bloater,er
blockbuster,er
blonder,er
bloodier,er
bloodily,ly
bloodless,less
bloodlessness,less;ness
bloodsucker,er
bloodthirstily,ly
bloodthirstiness,ness
bloomer,er
blotchier,er
blotter,er
blower,er
blowfly,ly
blowier,er
blubber,er
blueness,ness
bluffer,er
bluffness,ness
blumenthal,al
blunder,er
blunderer,er;er
blunter,er
bluntly,ly
bluntness,ness
blushingly,ly
bluster,er
blusterer,er;er
boarder,er
boaster,er
boastfully,ly
boastfulness,ness
boater,er
bodily,ly
bodybuilder,er
boggier,er
boiler,er
boisterously,ly
boisterousness,ness
bolder,er
boldly,ly
boldness,ness
bolshier,er
bolster,er
bombardier,er
bombardment,ment
bombastically,al;ly
bomber,er
bondholder,er
boneless,less
bonemeal,al
boner,er
bonesetter,er
boneshaker,er
bonier,er
bonner,er
bonnier,er
bonnily,ly
bookable,able
bookbinder,er
booker,er
bookishness,ness
bookkeeper,er
bookmaker,er
bookmarker,er
bookseller,er
boorishly,ly
boorishness,ness
booster,er
bootlegger,er
bootless,less
boozer,er
boozier,er
boozily,ly
booziness,ness
bopper,er
border,er
borderer,er;er
borer,er
borrower,er
borstal,al
bossier,er
bossiness,ness
botanical,al
botanize,ize
botcher,er
bother,er
botheration,tion
bottomless,less
boucher,er
boulder,er
bouncer,er
bouncier,er
bouncily,ly
bounciness,ness
bounder,er
boundless,less
boundlessness,less;ness
bounteously,ly
bounteousness,ness
bountifully,ly
boutflower,er
bowdler,er
bowdlerize,er;ize
bower,er
bowler,er
bowser,er
boxer,er
boyer,er
boyishly,ly
boyishness,ness
brackishness,ness
brainier,er
braininess,ness
brainless,less
braise,ise
branchier,er
brasher,er
brashly,ly
brashness,ness
brassier,er
bravely,ly
braver,er
brawler,er
brawnier,er
brawniness,ness
brazenly,ly
brazenness,ness
brazier,er
breadthwise,ise
breadwinner,er
breakable,able
breaker,er
breakwater,er
breathalyser,er
breather,er
breathier,er
breathily,ly
breathiness,ness
breathless,less
breathlessly,less;ly
breathlessness,less;ness
breathtakingly,ly
breeder,er
breezier,er
breezily,ly
breeziness,ness
brenner,er
brewer,er
bribable,able
bricklayer,er
bridal,al
bridgewater,er
briefer,er
briefly,ly
brigadier,er
brighter,er
brightly,ly
brightness,ness
brilliantly,ly
brinier,er
brisker,er
briskly,ly
briskness,ness
bristlier,er
